District_Province,Above_18_Population,Per_Day_Target_For_5_Months,Vaccine_Administered_First_Dose_24_Hours,Vaccine_Administered_Second_Dose_24_Hours,Vaccine_Administered_Total_Dose_24_Hours,Daily_Coverage_Percentage,Total_Vaccine_Administered_First_Dose,Vaccine_Administered_Second_Dose,Vaccine_Administered_Total_Dose,Total_Coverage_Percentage
Karachi Central,1880872,13932,1924,1231,3155,13.81,217307,81866,299173,11.55
Karachi East,1770739,39350,8400,5868,14268,21.35,915012,394825,1309837,51.67
Karachi Korangi,1357865,14758,2515,630,3144,17.04,212845,38145,250990,15.67
Karachi Malir,1180789,11747,1202,480,1682,10.23,157115,30278,187393,13.31
Karachi South,1239098,14391,6414,5113,11527,44.57,523113,228483,751596,42.22
Karachi West,2773453,16314,1565,937,2502,9.59,155503,38014,193517,5.61
Karachi Division,10202816,110492,22020,14258,36277,19.93,2180895,811611,2992506,21.38
Badin,993845,4733,8240,308,8548,174.11,120352,14209,134561,12.11
Dadu,811964,4060,1722,127,1849,42.42,51747,10825,62572,6.37
Hyderabad,1406979,18422,6876,1337,8213,37.32,230919,64649,295568,16.41
Jamshoro,593948,3712,1173,187,1360,31.59,76493,18046,94539,12.88
Matiari,437950,2190,1642,199,1841,74.97,58487,8131,66618,13.35
Sujawal,427757,2139,1559,40,1599,72.89,26321,3514,29835,6.15
Tando Allahyar,471536,2358,1317,132,1449,55.86,43137,6484,49621,9.15
Tando Muhammad Khan,376910,1885,1328,137,1465,70.45,34351,5910,40261,9.11
Thatta,560565,2803,1477,164,1640,52.69,43128,8469,51597,7.69
Hyderabad Division,6081454,42300,25333,2631,27964,59.89,684935,140237,825172,11.26
Ghotki,867740,4132,2733,244,2977,66.14,61035,14054,75089,7.03
Khairpur,1270598,6050,1703,201,1904,28.14,90433,21902,112335,7.12
Sukkur,827507,7430,818,392,1210,11.01,85543,21875,107418,10.34
Sukkur Division,2965845,17612,5254,837,6091,29.83,237011,57831,294842,7.99
Mirpur Khas,835773,6591,5836,420,6256,88.54,124307,23991,148298,14.87
Tharparkar,785829,4911,3138,275,3413,63.9,91266,13808,105074,11.61
Umer Kot,580757,3630,3724,212,3935,102.59,76640,10002,86642,13.2
Mirpurkhas Division,2202359,15132,12698,907,13605,83.91,292213,47801,340014,13.27
Naushahro Feroze,882413,4412,2275,213,2488,51.56,63331,11608,74939,7.18
Sanghar,1124520,5623,9291,418,9708,165.23,147769,21463,169232,13.14
Shaheed Benazir Abad,885102,7056,2434,423,2857,34.5,89360,22047,111407,10.1
SBA Division,2892035,17091,14000,1053,15053,81.91,300460,55118,355578,10.39
Jacobabad,492225,2237,2317,58,2375,103.55,43556,10731,54287,8.85
Kambar Shahdad Kot,668808,2908,1537,201,1737,52.85,34945,10731,40953,5.22
Kashmore,534387,2236,1446,99,1544,64.65,40121,6008,48268,7.51
Larkana,828671,6138,3317,193,3511,54.04,77596,8147,91401,9.36
Shikarpur,615061,3075,3085,180,3265,100.32,42366,13805,50976,6.89
Larkana Division,3139152,16595,11701,731,12433,70.51,238584,8610,285885,7.6
Sindh Total,27483661,219223,91005,20418,111422,41.51,3934098,47301,5093997,14.31
