District_Province,Above_18_Population,Per_Day_Target_For_5_Months,Vaccine_Administered_First_Dose_24_Hours,Vaccine_Administered_Second_Dose_24_Hours,Vaccine_Administered_Total_Dose_24_Hours,Daily_Coverage_Percentage,Total_Vaccine_Administered_First_Dose,Vaccine_Administered_Second_Dose,Vaccine_Administered_Total_Dose,Total_Coverage_Percentage
Badin,993845,4733,8240,308,8548,174.11%,120352,14209,134561,12.11%
Dadu,811964,4060,1722,127,1849,42.42%,51747,10825,62572,6.37%
Hyderabad,1406979,18422,6876,1337,8213,37.32%,230919,64649,295568,16.41%
Jamshoro,593948,3712,1173,187,1360,31.59%,76493,18046,94539,12.88%
Matiari,437950,2190,1642,199,1841,74.97%,58487,8131,66618,13.35%
Sujawal,427757,2139,1559,40,1599,72.89%,26321,3514,29835,6.15%
Tando Allahyar,471536,2358,1317,132,1449,55.86%,43137,6484,49621,9.15%
Tando Muhammad Khan,376910,1885,1328,137,1465,70.45%,34351,5910,40261,9.11%
Thatta,560565,2803,1477,164,1640,52.69%,43128,8469,51597,7.69%
Hyderabad Division,6081454,42300,25333,2631,27964,59.89%,684935,140237,825172,11.26%
